total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing
0.0,3304.0,0.0,996696.0,11938761.0,0.0,54078.5391,178675493.0,NaN,0.0,0.810958922,182227673.0,182236547.0,0.0,3304.0,0.0,0.000743293203,2664.0,8874.0,571.0,50.0,0.0,15.2642765,0.0,0.0,15.2635336,0.0,571.0,50.0,0.0,2664.0,0.0,0.0,0.0,602,DDR5_4800BN
0.0,3304.0,0.0,996696.0,10851650.0,0.0,49232.5195,162664237.0,NaN,0.0,0.812538028,165536076.0,165543582.0,0.0,3304.0,0.0,0.000691692054,2670.0,7506.0,562.0,54.0,0.0,15.2551537,0.0,0.0,15.2544613,0.0,562.0,54.0,0.0,2670.0,0.0,0.0,0.0,602,DDR5_5200BN
0.0,3304.0,0.0,996696.0,9797232.0,0.0,44235.1328,146152886.0,NaN,0.0,0.816742778,149059430.0,149066735.0,0.0,3304.0,0.0,0.000745618774,2683.0,7305.0,551.0,51.0,0.0,15.215189,0.0,0.0,15.2144423,0.0,551.0,51.0,0.0,2683.0,0.0,0.0,0.0,602,DDR5_5600BN
0.0,3304.0,4.0,996696.0,8741852.0,0.0,39546.543,130661772.0,NaN,0.0,0.82496196,133252798.0,133259264.0,0.0,3304.0,0.0,0.000739660172,2710.0,6466.0,516.0,59.0,0.0,15.243825,0.0,0.0,15.2430859,0.0,516.0,59.0,0.0,2710.0,0.0,0.0,0.0,602,DDR5_6400BN
0.0,281012.0,212.0,718988.0,16360574.0,0.0,873.168457,245370819.0,NaN,0.0,0.260346889,233516175.0,233726715.0,0.0,281012.0,0.0,0.0128687415,73158.0,210540.0,28165.0,179679.0,0.0,14.2859735,0.0,0.0,14.2731037,0.0,28165.0,179679.0,0.0,73158.0,0.0,0.0,0.0,620,DDR5_4800BN
0.0,281012.0,95.0,718988.0,15342158.0,0.0,816.586121,229470499.0,NaN,0.0,0.26196146,217976092.0,218153132.0,0.0,281012.0,0.0,0.0115394462,73613.0,177040.0,24600.0,182794.0,0.0,14.2191954,0.0,0.0,14.2076559,0.0,24600.0,182794.0,0.0,73613.0,0.0,0.0,0.0,620,DDR5_5200BN
0.0,281012.0,184.0,718988.0,14562435.0,0.0,774.008484,217505681.0,NaN,0.0,0.26480478,206182118.0,206335067.0,0.0,281012.0,0.0,0.0105029829,74412.0,152949.0,21631.0,184964.0,0.0,14.1689949,0.0,0.0,14.1584911,0.0,21631.0,184964.0,0.0,74412.0,0.0,0.0,0.0,620,DDR5_5600BN
0.0,281012.0,297.0,718988.0,13733898.0,0.0,730.35907,205239664.0,NaN,0.0,0.267861664,194031492.0,194155193.0,0.0,281012.0,0.0,0.0090069836,75271.0,123701.0,17755.0,187981.0,0.0,14.1369333,0.0,0.0,14.1279259,0.0,17755.0,187981.0,0.0,75271.0,0.0,0.0,0.0,620,DDR5_6400BN
0.0,38611.0,0.0,961389.0,15972255.0,0.0,6391.36279,246776910.0,NaN,0.0,0.900829017,246602387.0,246704553.0,0.0,38611.0,0.0,0.00639646687,34772.0,102166.0,3824.0,4.0,0.0,15.4458189,0.0,0.0,15.4394217,0.0,3824.0,4.0,0.0,34772.0,0.0,0.0,0.0,607,DDR5_4800BN
0.0,38611.0,0.0,961389.0,14808536.0,0.0,5915.22461,228392733.0,NaN,0.0,0.913626969,228247976.0,228333776.0,0.0,38611.0,0.0,0.00579395564,35266.0,85800.0,3331.0,3.0,0.0,15.4190645,0.0,0.0,15.41327,0.0,3331.0,3.0,0.0,35266.0,0.0,0.0,0.0,607,DDR5_5200BN
0.0,38611.0,0.0,961389.0,13779644.0,0.0,5504.41748,212531059.0,NaN,0.0,0.92432642,212409723.0,212482986.0,0.0,38611.0,0.0,0.00531675573,35679.0,73263.0,2918.0,3.0,0.0,15.420064,0.0,0.0,15.4147472,0.0,2918.0,3.0,0.0,35679.0,0.0,0.0,0.0,607,DDR5_5600BN
0.0,38611.0,0.0,961389.0,12692354.0,0.0,5069.81689,195750710.0,NaN,0.0,0.937331617,195648571.0,195706338.0,0.0,38611.0,0.0,0.00455132267,36181.0,57767.0,2415.0,4.0,0.0,15.4192305,0.0,0.0,15.4146805,0.0,2415.0,4.0,0.0,36181.0,0.0,0.0,0.0,607,DDR5_6400BN
0.0,2349.0,0.0,997651.0,11815281.0,0.0,82615.7891,194064500.0,NaN,0.0,0.694420576,198459131.0,198462505.0,0.0,2349.0,0.0,0.00028556239,1618.0,3374.0,505.0,207.0,0.0,16.7971039,0.0,0.0,16.7968197,0.0,505.0,207.0,0.0,1618.0,0.0,0.0,0.0,623,DDR5_4800BN
0.0,2349.0,0.0,997651.0,10734299.0,0.0,75572.5938,177520015.0,NaN,0.0,0.710729599,181514604.0,181517008.0,0.0,2349.0,0.0,0.000223955009,1656.0,2404.0,455.0,219.0,0.0,16.9100018,0.0,0.0,16.9097767,0.0,455.0,219.0,0.0,1656.0,0.0,0.0,0.0,623,DDR5_5200BN
0.0,2349.0,0.0,997651.0,9659574.0,0.0,67975.8828,159675340.0,NaN,0.0,0.710729599,163251138.0,163254090.0,0.0,2349.0,0.0,0.000305603549,1656.0,2952.0,460.0,214.0,0.0,16.9007549,0.0,0.0,16.9004498,0.0,460.0,214.0,0.0,1656.0,0.0,0.0,0.0,623,DDR5_5600BN
0.0,2349.0,0.0,997651.0,8610620.0,0.0,60073.6992,141113113.0,NaN,0.0,0.71128273,144121764.0,144124213.0,0.0,2349.0,0.0,0.000284416223,1658.0,2449.0,448.0,225.0,0.0,16.7379589,0.0,0.0,16.7376747,0.0,448.0,225.0,0.0,1658.0,0.0,0.0,0.0,623,DDR5_6400BN
0.0,55021.0,6.0,944979.0,12846651.0,0.0,3581.3855,197051412.0,NaN,0.0,0.911272705,196894698.0,196977619.0,0.0,55021.0,0.0,0.00645467825,50120.0,82921.0,3804.0,1076.0,0.0,15.3329935,0.0,0.0,15.326539,0.0,3804.0,1076.0,0.0,50120.0,0.0,0.0,0.0,621,DDR5_4800BN
0.0,55021.0,26.0,944979.0,11719712.0,0.0,3277.22339,180316108.0,NaN,0.0,0.919104159,180124838.0,180192601.0,0.0,55021.0,0.0,0.00578196812,50559.0,67763.0,3377.0,1073.0,0.0,15.3751736,0.0,0.0,15.3693905,0.0,3377.0,1073.0,0.0,50559.0,0.0,0.0,0.0,621,DDR5_5200BN
0.0,55021.0,38.0,944979.0,10629887.0,0.0,2947.81055,162191494.0,NaN,0.0,0.925254524,162061100.0,162121402.0,0.0,55021.0,0.0,0.005672873,50889.0,60302.0,2991.0,1120.0,0.0,15.2514706,0.0,0.0,15.2457972,0.0,2991.0,1120.0,0.0,50889.0,0.0,0.0,0.0,621,DDR5_5600BN
0.0,55021.0,7.0,944979.0,9508582.0,0.0,2631.76392,144802283.0,NaN,0.0,0.933236361,144684742.0,144732274.0,0.0,55021.0,0.0,0.0049988525,51328.0,47532.0,2538.0,1134.0,0.0,15.2212257,0.0,0.0,15.2162266,0.0,2538.0,1134.0,0.0,51328.0,0.0,0.0,0.0,621,DDR5_6400BN
0.0,75303.0,0.0,924697.0,14675682.0,0.0,3023.67822,227692041.0,NaN,0.0,0.787943602,226792178.0,226894294.0,0.0,75303.0,0.0,0.00695817731,59329.0,102116.0,10557.0,5410.0,0.0,15.4605618,0.0,0.0,15.4536037,0.0,10557.0,5410.0,0.0,59329.0,0.0,0.0,0.0,628,DDR5_4800BN
0.0,75303.0,0.0,924697.0,13476289.0,0.0,2769.73145,208569092.0,NaN,0.0,0.795367599,207724658.0,207811318.0,0.0,75303.0,0.0,0.00643055374,59888.0,86660.0,9701.0,5707.0,0.0,15.4205151,0.0,0.0,15.4140844,0.0,9701.0,5707.0,0.0,59888.0,0.0,0.0,0.0,628,DDR5_5200BN
0.0,75303.0,15.0,924697.0,12367926.0,0.0,2543.18018,191509081.0,NaN,0.0,0.803030729,190706977.0,190782352.0,0.0,75303.0,0.0,0.00609439285,60465.0,75375.0,8851.0,5980.0,0.0,15.4255733,0.0,0.0,15.4194794,0.0,8851.0,5980.0,0.0,60465.0,0.0,0.0,0.0,628,DDR5_5600BN
0.0,75303.0,1.0,924697.0,11145621.0,0.0,2281.99243,171840876.0,NaN,0.0,0.812207818,171078255.0,171136943.0,0.0,75303.0,0.0,0.00526556559,61156.0,58688.0,7809.0,6331.0,0.0,15.3546352,0.0,0.0,15.34937,0.0,7809.0,6331.0,0.0,61156.0,0.0,0.0,0.0,628,DDR5_6400BN
0.0,3353.0,6.0,996647.0,16940564.0,0.0,68378.0625,229271650.0,NaN,0.0,0.471466988,229437977.0,229446204.0,0.0,3353.0,0.0,0.000485639088,1578.0,8227.0,1262.0,507.0,0.0,13.5441895,0.0,0.0,13.543704,0.0,1262.0,507.0,0.0,1578.0,0.0,0.0,0.0,605,DDR5_4800BN
0.0,3353.0,0.0,996647.0,15636599.0,0.0,64275.5898,215516050.0,NaN,0.0,0.475067198,215661576.0,215670061.0,0.0,3353.0,0.0,0.000542637194,1591.0,8485.0,1256.0,502.0,0.0,13.7926455,0.0,0.0,13.7921019,0.0,1256.0,502.0,0.0,1591.0,0.0,0.0,0.0,605,DDR5_5200BN
0.0,3353.0,5.0,996647.0,14597385.0,0.0,59462.3281,199377180.0,NaN,0.0,0.478195935,199500755.0,199509320.0,0.0,3353.0,0.0,0.000586748938,1601.0,8565.0,1242.0,505.0,0.0,13.667469,0.0,0.0,13.6668825,0.0,1242.0,505.0,0.0,1601.0,0.0,0.0,0.0,605,DDR5_5600BN
0.0,3353.0,3.0,996647.0,13503071.0,0.0,55543.2812,186236621.0,NaN,0.0,0.481780171,186346910.0,186354046.0,0.0,3353.0,0.0,0.000528472359,1613.0,7136.0,1220.0,515.0,0.0,13.8008642,0.0,0.0,13.8003359,0.0,1220.0,515.0,0.0,1613.0,0.0,0.0,0.0,605,DDR5_6400BN
0.0,3223.0,0.0,996777.0,22536486.0,0.0,107815.438,347489136.0,NaN,0.0,0.916875005,349246008.0,349257231.0,0.0,3223.0,0.0,0.000497992442,2934.0,11223.0,266.0,0.0,0.0,15.4974127,0.0,0.0,15.4969158,0.0,266.0,0.0,0.0,2934.0,0.0,0.0,0.0,603,DDR5_4800BN
0.0,3223.0,0.0,996777.0,21218636.0,0.0,101520.602,327200893.0,NaN,0.0,0.916562498,328854963.0,328865312.0,0.0,3223.0,0.0,0.000487731624,2933.0,10349.0,267.0,0.0,0.0,15.4988899,0.0,0.0,15.4984035,0.0,267.0,0.0,0.0,2933.0,0.0,0.0,0.0,603,DDR5_5200BN
0.0,3223.0,0.0,996777.0,20216454.0,0.0,96719.3828,311726574.0,NaN,0.0,0.917812526,313319911.0,313329752.0,0.0,3223.0,0.0,0.000486781704,2937.0,9841.0,263.0,0.0,0.0,15.4987497,0.0,0.0,15.4982624,0.0,263.0,0.0,0.0,2937.0,0.0,0.0,0.0,603,DDR5_5600BN
0.0,3223.0,0.0,996777.0,19014496.0,0.0,90976.8203,293218319.0,NaN,0.0,0.916875005,294695013.0,294705277.0,0.0,3223.0,0.0,0.000539798697,2934.0,10264.0,266.0,0.0,0.0,15.4989796,0.0,0.0,15.4984388,0.0,266.0,0.0,0.0,2934.0,0.0,0.0,0.0,603,DDR5_6400BN
0.0,174078.0,2.0,825922.0,14345083.0,0.0,1197.23413,208412128.0,NaN,0.0,0.847448647,206894937.0,207034054.0,0.0,174078.0,0.0,0.00969788712,147512.0,139117.0,9329.0,17225.0,0.0,14.4324055,0.0,0.0,14.4227085,0.0,9329.0,17225.0,0.0,147512.0,0.0,0.0,0.0,654,DDR5_4800BN
0.0,174078.0,1.0,825922.0,13173758.0,0.0,1096.84424,190936443.0,NaN,0.0,0.85185504,189490651.0,189606530.0,0.0,174078.0,0.0,0.00879619922,148279.0,115879.0,8397.0,17390.0,0.0,14.3927441,0.0,0.0,14.3839483,0.0,8397.0,17390.0,0.0,148279.0,0.0,0.0,0.0,654,DDR5_5200BN
0.0,174078.0,15.0,825922.0,12085111.0,0.0,1001.22089,174290526.0,NaN,0.0,0.855141163,172908880.0,173007647.0,0.0,174078.0,0.0,0.00817261823,148851.0,98767.0,7686.0,17529.0,0.0,14.3157682,0.0,0.0,14.3075953,0.0,7686.0,17529.0,0.0,148851.0,0.0,0.0,0.0,654,DDR5_5600BN
0.0,174078.0,1.0,825922.0,10912207.0,0.0,900.864929,156820768.0,NaN,0.0,0.859547555,155500036.0,155575440.0,0.0,174078.0,0.0,0.0069100596,149618.0,75404.0,6737.0,17711.0,0.0,14.2570095,0.0,0.0,14.2500992,0.0,6737.0,17711.0,0.0,149618.0,0.0,0.0,0.0,654,DDR5_6400BN
0.0,237469.0,18.0,762531.0,14593013.0,0.0,871.821899,207030665.0,NaN,0.0,0.896472275,205684011.0,205829069.0,0.0,237469.0,0.0,0.00994023681,212879.0,145058.0,8794.0,15790.0,0.0,14.1046314,0.0,0.0,14.0946913,0.0,8794.0,15790.0,0.0,212879.0,0.0,0.0,0.0,619,DDR5_4800BN
0.0,237469.0,17.0,762531.0,13465367.0,0.0,798.756714,189679956.0,NaN,0.0,0.899984419,188390949.0,188525392.0,0.0,237469.0,0.0,0.00998435449,213713.0,134443.0,7861.0,15889.0,0.0,14.000762,0.0,0.0,13.990777,0.0,7861.0,15889.0,0.0,213713.0,0.0,0.0,0.0,619,DDR5_5200BN
0.0,237469.0,17.0,762531.0,12415152.0,0.0,732.082336,173846865.0,NaN,0.0,0.903382838,172618213.0,172721803.0,0.0,237469.0,0.0,0.00834383629,214520.0,103590.0,6955.0,15988.0,0.0,13.912178,0.0,0.0,13.9038334,0.0,6955.0,15988.0,0.0,214520.0,0.0,0.0,0.0,619,DDR5_5600BN
0.0,237469.0,38.0,762531.0,11258877.0,0.0,657.726624,156189676.0,NaN,0.0,0.906423569,155018214.0,155098495.0,0.0,237469.0,0.0,0.00713046268,215233.0,80281.0,6091.0,16129.0,0.0,13.7756634,0.0,0.0,13.7685318,0.0,6091.0,16129.0,0.0,215233.0,0.0,0.0,0.0,619,DDR5_6400BN
